ID	Cindex	se
RS	0.708385314560684	0.024977139502202
Age	0.551260916057744	0.0281046208091182
Grade	0.546916770629121	0.022929400088351
pM	0.51982712528961	0.0136491656804253
pN	0.580622883621458	0.0268172941105945
pT	0.54125824273748	0.0256496489767138
Gender	0.541503297094992	0.0228327765769592
Stage	0.587707182320442	0.0265394215099021
