id	coef	HR	HR.95L	HR.95H	pvalue
Age>65	0.6369972720429	1.89079480428908	1.29476104402361	2.76120833912066	0.000977115180607198
GradeG3	0.255703055397191	1.2913692058842	0.874120601718747	1.9077852902986	0.199051730307459
pMM1	0.607178259210953	1.83524549850836	0.897748596623816	3.75174748527792	0.0960523036012143
pNN2+N3	0.176004491200341	1.19244341414091	0.743236451527325	1.91314795312587	0.465573522405024
pTT3+T4	0.0632802736656372	1.06532538004215	0.624388790394513	1.81764660548256	0.81642433062685
Gendermale	0.392035152845527	1.47998973633845	1.00188175498315	2.18625562225555	0.0489062358223769
Stagestage iii+iv	0.280329957478565	1.32356646094791	0.755002229289932	2.32029536945041	0.32770256745848
RSLow	-1.26800311363018	0.281392970904798	0.188834814857461	0.41931888531465	4.64788604686106e-10
